valor,data
,2013-04-20
,2013-04-21
54.29773,2013-04-22
54.88475,2013-04-23
54.98423,2013-04-24
54.96332,2013-04-25
54.25204,2013-04-26
,2013-04-27
,2013-04-28
54.88725,2013-04-29
55.91037,2013-04-30
,2013-05-01
55.32193,2013-05-02
55.48808,2013-05-03
,2013-05-04
,2013-05-05
55.42988,2013-05-06
56.27466,2013-05-07
55.8048,2013-05-08
55.44756,2013-05-09
55.1078,2013-05-10
,2013-05-11
,2013-05-12
54.44777,2013-05-13
54.66682,2013-05-14
54.93641,2013-05-15
54.77262,2013-05-16
55.16427,2013-05-17
,2013-05-18
,2013-05-19
55.70077,2013-05-20
56.26532,2013-05-21
56.42927,2013-05-22
56.34991,2013-05-23
56.40621,2013-05-24
,2013-05-25
,2013-05-26
56.39594,2013-05-27
56.03626,2013-05-28
54.63469,2013-05-29
,2013-05-30
53.50608,2013-05-31
,2013-06-01
,2013-06-02
53.94436,2013-06-03
54.0179,2013-06-04
52.79863,2013-06-05
52.88483,2013-06-06
51.61863,2013-06-07
,2013-06-08
,2013-06-09
51.31665,2013-06-10
49.76993,2013-06-11
49.18058,2013-06-12
50.41489,2013-06-13
49.33234,2013-06-14
,2013-06-15
,2013-06-16
49.08865,2013-06-17
49.46494,2013-06-18
47.89306,2013-06-19
48.21443,2013-06-20
47.05604,2013-06-21
,2013-06-22
,2013-06-23
45.96505,2013-06-24
46.89304,2013-06-25
47.17198,2013-06-26
47.60946,2013-06-27
47.45713,2013-06-28
,2013-06-29
,2013-06-30
47.22959,2013-07-01
45.22895,2013-07-02
45.04403,2013-07-03
45.76316,2013-07-04
45.21049,2013-07-05
,2013-07-06
,2013-07-07
45.0755,2013-07-08
,2013-07-09
45.48343,2013-07-10
46.62626,2013-07-11
45.53324,2013-07-12
,2013-07-13
,2013-07-14
46.7389,2013-07-15
46.86929,2013-07-16
47.40731,2013-07-17
47.65692,2013-07-18
47.40023,2013-07-19
,2013-07-20
,2013-07-21
48.57409,2013-07-22
48.81952,2013-07-23
48.37423,2013-07-24
49.06675,2013-07-25
49.42205,2013-07-26
,2013-07-27
